User ID;Rank;Skipper;Team;Points
5a2ac6047b296eaadfc5ae1e;6456;YATESCUELA;YATESCUELA C. VALENCIANA;51634
636b67d7e3ea1a2e71150210;6457;Juste Mrik; ;51632
59fe3923e0750e372d6914f0;6458;boatone; ;51630
5f988544a73ee050183200da;6459;Pakaloo; ;51629
5fa568eda73ee05018a3952a;6460;LA*FAYETTE; ;51629
5c75c44e517022fc090ab521;6461;flavandval; ;51628
5e789ab8080c8cbd450c67bc;6462;Solexia; ;51627
59d67d23b395b292ed643598;6463;vincent17138;Les Pirates Des Océans;51626
5fa13d8fa73ee0501892dc64;6464;Lafouge44; ;51626
59c63db1b395b292ed628e59;6465;ITTACK; ;51626
5fa7bc67a73ee05018c3d4ca;6466;Monyaya2020!;Savoie BVAB;51618
5bdfebfd517022fc09d96996;6467;MAYAX44;xdhins;51618
59c60237b395b292ed6287d1;6468;gilloupi; ;51617
5c258428517022fc09fd90a5;6469;Micky Tab; ;51617
5fa8fa03a73ee05018b95ecd;6470;chichi26; ;51612
5fa43107a73ee05018c0a23b;6471;baloofvp / LSV-Trustable;LSV Academy - Trustable;51610
5fa814fba73ee05018d6c782;6472;captmooselips; ;51610
59c9540eb395b292ed62bd0a;6473;Alcaline385;Les saouls marins;51610
5bddc67d517022fc09d567e9;6474;Doélannais; ;51609
5fa72199a73ee05018e73910;6475;L'hommedelamer; ;51608
5a109da67b296eaadfc3bcd0;6476;Haring; ;51608
5fa699a1a73ee050189db4ca;6477;Bruce Gallaway;Team Jura Gliss;51608
59e4db06e0750e372d641f21;6478;Jaybird ^,^;SEAWOLVES SECOND ASSAULT;51605
5bff9308517022fc09f21915;6479;Kreizig;Team Marins;51605
59dd10f4e0750e372d636ab2;6480;dario lll; ;51604
5fa52875a73ee05018770061;6481;Fulgence; ;51604
5daadfc56f64cfd4344b3ac8;6482;kuba77; ;51602
636c04c9012f20c3ee8fe787;6483;romain dubillot; ;51602
59c6a30ab395b292ed6296b5;6484;Arthur le skippeur; ;51599
59d0a4acb395b292ed633e5e;6485;Kermao2; ;51595
5fa7cba6a73ee05018941b09;6486;VirtuaRegatta - TORC / YWCN;TORC YesWeCanNette;51592
5fa19cb1a73ee05018fe171b;6487;Jipeeh; ;51591
5fa71d22a73ee05018a5f9da;6488;Bersotoine; ;51590
59c8aa7fb395b292ed62b29b;6489;sergio8367; ;51590
5e9c4f14080c8cbd451a2956;6490;AfondFrise;Nevachamanosque;51586
61cdc22b2a05eec9717a19af;6491;fanfan69;Pépé Team;51584
59c82aa7b395b292ed62aed8;6492;S4;Ita-1;51581
5f8c619252e859ef03105791;6493;Pirat 6Z;Projection Virtuelle #3;51580
5f9d018ba73ee05018ff220b;6494;duducaca; ;51576
59fd7890e0750e372d68ac1b;6495;- la Perle Violette -;Real Vikings & Normands;51576
59c6a54db395b292ed6296e7;6496;Korrigans35; ;51575
5fa42772a73ee050183b7ec8;6497;Fibus85-MAR;Team Marins;51571
59d51bdfb395b292ed6413c5;6498;TDeventer;Britpack;51570
5bdc9ed3517022fc09d4ce1d;6499;Remondst; ;51570
5fa65404a73ee05018d698a6;6500;The Captain'coach;FC BRUZ en transat;51566
5fa0eb63a73ee05018069e0c;6501;raisinus; ;51566
59f9c967e0750e372d682490;6502;Julien 13 29; ;51565
5fac1383a73ee050185129c4;6503;DingusMaximus ≈SoN≈;≈ Sons Of Neptune ≈;51565
5f9ddd4ca73ee05018ffd602;6504;Breizh - Flying Kiwi;Flying Kiwi;51564
5ed8a6fd52e859ef03ecf7b5;6505;Spinch_VVO; ;51564
5a23dbd87b296eaadfc551b9;6506;boxter.inox; ;51564
614b08742a05eec971273fa4;6507;ruxize; ;51563
5f94116da73ee050180584db;6508;Shnurov;Flying Russians Team;51563
5fc291cf06999515a3603266;6509;Tim BG - TND;Team38 Nord Dauphiné-TND1;51558
5a0d79b17b296eaadfc369d3;6510;Joshua Fab;MOUETTES et GOELANDS;51555
59c78bb7b395b292ed62a2f1;6511;Docadu31_SGPS;Team Sgps Fvr;51552
59c96451b395b292ed62be4e;6512;Breizh-Iles;Les covins;51550
5f0d269552e859ef03f6db2d;6513;rescoblack / LSV-Trustable;LSV Academy - Trustable;51549
59ff0b7fec355084ecddedcb;6514;Cleyrac;Les grosses foils;51549
